date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:03	608/608	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Oct%202019%2020:27:33%20GMT	http://slimhamdi.net/istanbul/demos/img/styleswitcher/green.png	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/styleswitcher/green.png	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:04	600/600	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Oct%202019%2020:27:43%20GMT	http://slimhamdi.net/istanbul/demos/img/styleswitcher/yellow.png	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/styleswitcher/yellow.png	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:04	23839/23839	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20Nov%202019%2014:34:03%20GMT	http://slimhamdi.net/istanbul/demos/img/dark-about.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/dark-about.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:07	25029/25029	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:18%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/project-1.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/project-1.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:08	23733/23733	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:18%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/project-2.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/project-2.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:10	30195/30195	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:22%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/project-8.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/project-8.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:10	27567/27567	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:20%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/project-6.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/project-6.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:11	27495/27495	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:20%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/project-5.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/project-5.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:13	29786/29786	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:19%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/project-4.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/project-4.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:15	29928/29928	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:21%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/project-7.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/project-7.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:15	23117/23117	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:22%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/project-9.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/project-9.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:16	13765/13765	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Mar%202021%2005:27:14%20GMT	http://slimhamdi.net/istanbul/demos/blog-post.html	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/blog-post.html	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:16	34941/34941	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:19%20GMT	http://slimhamdi.net/istanbul/demos/img/projects/project-3.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/projects/project-3.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:24	41239/41239	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:14%20GMT	http://slimhamdi.net/istanbul/demos/img/blog/blog-post-3.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/blog/blog-post-3.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:24	50610/50610	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:16%20GMT	http://slimhamdi.net/istanbul/demos/img/blog/blog-post-4.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/blog/blog-post-4.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:24	47953/47953	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:11%20GMT	http://slimhamdi.net/istanbul/demos/img/blog/blog-post-1.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/blog/blog-post-1.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:25	10110/10110	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Mar%202021%2005:27:23%20GMT	http://slimhamdi.net/istanbul/demos/blog.html	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/blog.html	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:26	7362/7362	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Oct%202019%2020:26:59%20GMT	http://slimhamdi.net/istanbul/demos/js/jquery.animatedheadline.js	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/js/jquery.animatedheadline.js	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:28	48944/48944	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Oct%202019%2020:26:23%20GMT	http://slimhamdi.net/istanbul/demos/js/bootstrap.min.js	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/js/bootstrap.min.js	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:29	1605/1605	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Oct%202019%2020:27:00%20GMT	http://slimhamdi.net/istanbul/demos/js/transition.js	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/js/transition.js	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:30	85578/85578	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Oct%202019%2020:27:04%20GMT	http://slimhamdi.net/istanbul/demos/js/jquery-2.2.4.min.js	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/js/jquery-2.2.4.min.js	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:30	7930/7930	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Oct%202019%2020:27:00%20GMT	http://slimhamdi.net/istanbul/demos/js/styleswitcher.js	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/js/styleswitcher.js	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:30	52455/52455	---M--	200	added ('OK')	image/jpeg	date:Sat,%2026%20Oct%202019%2020:27:15%20GMT	http://slimhamdi.net/istanbul/demos/img/blog/blog-post-2.jpg	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/img/blog/blog-post-2.jpg	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
10:57:31	12273/12273	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Oct%202019%2020:26:31%20GMT	http://slimhamdi.net/istanbul/demos/js/custom.js	C:/Users/Sai%20Kiran/Desktop/Portfolio/slimhamdi.net/istanbul/demos/js/custom.js	(from http://slimhamdi.net/istanbul/demos/index-dark.html)
